PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스닥,,소룩스,"""290690""",,"7,080"
,,,,,,,,코스닥,,소프트캠프,"""258790""",,"1,690"
,,,,,,,,코스닥,,손오공,"""066910""",,"1,938"
,,,,,,,,코스닥,,슈어소프트테크,"""298830""",,"7,700"
,,,,,,,,코스닥,,스킨앤스킨,"""159910""",,160
,,,,,,,,코스닥,,신성델타테크,"""065350""",,"11,090"
,,,,,,,,코스닥,,신한제8호스팩,"""393360""",,"2,145"
,,,,,,,,코스닥,,싸이버원,"""356890""",,"10,240"
,,,,,,,,코스닥,,싸이토젠,"""217330""",,"16,720"
,,,,,,,,코스닥,,씨유테크,"""376290""",,"4,260"
,,,,,,,,코스닥,,씨이랩,"""189330""",,"16,300"
,,,,,,,,코스닥,,씨젠,"""096530""",,"24,800"
,,,,,,,,코스닥,,아나패스,"""123860""",,"17,910"
,,,,,,,,코스닥,,아셈스,"""136410""",,"12,090"
,,,,,,,,코스닥,,아이엘사이언스,"""307180""",,"3,870"
,,,,,,,,코스닥,,아이톡시,"""052770""",,"2,085"
,,,,,,,,코스닥,,아주IB투자,"""027360""",,"2,165"
,,,,,,,,코스닥,,안랩,"""053800""",,"62,000"
,,,,,,,,코스닥,,알서포트,"""131370""",,"3,905"
,,,,,,,,코스닥,,어반리튬,"""073570""",,"21,150"
,,,,,,,,코스닥,,에너토크,"""019990""",,"8,870"
,,,,,,,,코스닥,,에스앤더블류,"""103230""",,"3,905"
,,,,,,,,코스닥,,에스에이엠티,"""031330""",,"3,000"
,,,,,,,,코스닥,,에스티큐브,"""052020""",,"17,840"
,,,,,,,,코스닥,,에스피지,"""058610""",,"28,850"
,,,,,,,,코스닥,,에이비온,"""203400""",,"8,400"
,,,,,,,,코스닥,,에이텍모빌리티,"""224110""",,"11,200"
,,,,,,,,코스닥,,에이프로젠 H&G,"""109960""",,"1,611"
,,,,,,,,코스닥,,에치에프알,"""230240""",,"24,250"
,,,,,,,,코스닥,,에코바이오,"""038870""",,"8,000"
,,,,,,,,코스닥,,에코캡,"""128540""",,"4,100"
,,,,,,,,코스닥,,에프앤가이드,"""064850""",,"8,100"
,,,,,,,,코스닥,,에프엔에스테크,"""083500""",,"8,980"
,,,,,,,,코스닥,,엔브이에이치코리아,"""067570""",,"3,970"
,,,,,,,,코스닥,,엔에이치스팩20호,"""391060""",,"9,870"
,,,,,,,,코스닥,,엘앤에프,"""066970""",,"255,500"
,,,,,,,,코스닥,,엠아이텍,"""179290""",,"14,460"
,,,,,,,,코스닥,,엠에스오토텍,"""123040""",,"5,730"
,,,,,,,,코스닥,,오스템,"""031510""",,"1,483"
,,,,,,,,코스닥,,오션브릿지,"""241790""",,"13,720"
,,,,,,,,코스닥,,올리패스,"""244460""",,"4,025"
,,,,,,,,코스닥,,와이엠씨,"""155650""",,"6,000"
,,,,,,,,코스닥,,와이제이엠게임즈,"""193250""",,"1,092"
,,,,,,,,코스닥,,와이엠티,"""251370""",,"12,010"
,,,,,,,,코스닥,,와토스코리아,"""079000""",,"5,410"
,,,,,,,,코스닥,,우리넷,"""115440""",,"8,140"
,,,,,,,,코스닥,,우리엔터프라이즈,"""037400""",,"1,549"
,,,,,,,,코스닥,,원익IPS,"""240810""",,"29,750"
,,,,,,,,코스닥,,원풍물산,"""008290""",,839
,,,,,,,,코스닥,,웨스트라이즈,"""064090""",,"2,280"
,,,,,,,,코스닥,,웰킵스하이텍,"""043590""",,"1,400"
,,,,,,,,코스닥,,위드텍,"""348350""",,"12,250"
,,,,,,,,코스닥,,위메이드플레이,"""123420""",,"13,350"
,,,,,,,,코스닥,,위지트,"""036090""",,747
,,,,,,,,코스닥,,윈스,"""136540""",,"12,610"
,,,,,,,,코스닥,,윈텍,"""320000""",,"3,180"
,,,,,,,,코스닥,,유니크,"""011320""",,"5,780"
,,,,,,,,코스닥,,유진스팩9호,"""442130""",,"2,140"
,,,,,,,,코스닥,,유진테크,"""084370""",,"28,300"
,,,,,,,,코스닥,,이상네트웍스,"""080010""",,"5,520"
,,,,,,,,코스닥,,이스트아시아홀딩스,"""900110""",,163
,,,,,,,,코스닥,,이퓨쳐,"""134060""",,"6,480"
,,,,,,,,코스닥,,이화공영,"""001840""",,"3,735"
,,,,,,,,코스닥,,인터엠,"""017250""",,"1,166"
,,,,,,,,코스닥,,인포마크,"""175140""",,"8,580"
